8/12/2015,12:30:32 PM,PIL19,,,,,,,,,
Date,Time,P,T,Int_load,Ext_load,Disp,Intensifier,6v,T_bath,pist_13_mm,pist_20_mm
8/12/2015,12:30:56 PM,0.582485,263.9692,0.009743,0.000315,0.433603,-3.873842,6.026423,266.594,263.2667,263.3819
8/12/2015,12:31:10 PM,0.582401,263.9667,0.009709,0.000316,0.433566,-3.873829,6.026373,266.5825,263.2647,263.3816
8/12/2015,12:31:24 PM,0.582586,263.962,0.009761,0.000315,0.433614,-3.872639,6.026664,266.5623,263.2642,263.3789
8/12/2015,12:31:40 PM,0.581627,263.9616,0.00951,0.000402,0.422637,-3.872095,6.026626,266.5418,263.2645,263.3808
8/12/2015,12:31:54 PM,0.58159,263.9554,0.009378,0.000487,0.45453,-3.872095,6.026651,266.5173,263.2602,263.3774
8/12/2015,12:32:08 PM,0.582107,263.9491,0.009393,0.000489,0.488908,-3.872209,6.026702,266.4933,263.2587,263.3765
8/12/2015,12:32:22 PM,0.581999,263.9471,0.009365,0.000489,0.522905,-3.872246,6.026791,266.4731,263.2539,263.3735
8/12/2015,12:32:36 PM,0.582439,263.9427,0.009344,0.00049,0.575778,-3.872044,6.026791,266.4504,263.2511,263.37
8/12/2015,12:32:50 PM,0.582355,263.9405,0.009286,0.000489,0.639002,-3.87212,6.026867,266.4342,263.2511,263.3702
8/12/2015,12:33:05 PM,0.582757,263.9378,0.00929,0.000492,0.706504,-3.872107,6.026917,266.4177,263.2491,263.3685
8/12/2015,12:33:19 PM,0.583012,263.9337,0.00928,0.000493,0.786271,-3.872044,6.026968,266.4057,263.2484,263.3667
8/12/2015,12:33:33 PM,0.582972,263.9341,0.009227,0.000495,0.86409,-3.872107,6.027031,266.3978,263.2479,263.3654
8/12/2015,12:33:47 PM,0.584671,263.9303,0.009207,0.000494,0.939955,-3.872107,6.036476,266.3985,263.2484,263.3661
8/12/2015,12:34:01 PM,0.583399,263.9369,0.009173,0.000493,0.974046,-3.872018,6.02712,266.4064,263.2547,263.3684
8/12/2015,12:34:15 PM,0.583878,263.9314,0.009087,0.000497,1.046618,-3.872069,6.027259,266.4153,263.2525,263.3701
8/12/2015,12:34:29 PM,0.584049,263.9369,0.009161,0.000498,1.122506,-3.872297,6.027272,266.4287,263.2571,263.3735
8/12/2015,12:34:43 PM,0.584122,263.9373,0.009125,0.000496,1.192202,-3.872196,6.02731,266.451,263.2581,263.376
8/12/2015,12:34:57 PM,0.584367,263.9386,0.009138,0.000496,1.261227,-3.872221,6.027272,266.4707,263.2615,263.3783
8/12/2015,12:35:11 PM,0.586113,263.94,0.009053,0.000496,1.340279,-3.872335,6.057429,266.4928,263.2646,263.3817
8/12/2015,12:35:25 PM,0.586016,263.9394,0.01158,0.000473,1.354877,-3.872538,6.027272,266.5156,263.2671,263.383
8/12/2015,12:35:41 PM,0.584861,263.9378,0.009091,0.000311,1.325517,-3.872816,6.027424,266.5405,263.2682,263.3848
