1/30/2020,12:54:04 PM,PIL294,,,,,,,,,,,,,
Date,Time,P,T,Int_load,Ext_load,Disp,Intensifier,6v,T_bath,pist_13_mm,pist_20_mm,time (s),,,
1/30/2020,12:54:10 PM,0.878354,146.5483,0.026154,0.000236,0.893433,-5.117005,6.029701,144.6409,145.3621,145.4502,46450,,,
1/30/2020,12:54:16 PM,0.878329,170.9725,0.026139,0.000237,0.893433,-5.117032,6.029489,168.7458,169.5884,169.6922,46456,,,
1/30/2020,12:54:22 PM,0.878304,195.3982,0.026147,0.000236,0.893429,-5.117138,6.029767,192.8632,193.8157,193.9356,46462,,,
1/30/2020,12:54:28 PM,0.87831,219.8267,0.026163,0.000236,0.893438,-5.117177,4.829776,216.9766,218.0445,218.1793,46468,,,
1/30/2020,12:54:34 PM,0.878333,244.2523,0.026156,0.000235,0.893435,-5.117111,6.029648,241.0938,242.2717,242.421,46474,,,
1/30/2020,12:54:40 PM,0.878333,244.2541,0.02618,0.000235,0.893434,-5.116966,6.029423,241.1049,242.2698,242.4224,46480,,,
1/30/2020,12:54:46 PM,0.87851,244.2584,0.026166,0.000236,0.89388,-5.120644,4.246074,241.1185,242.272,242.4249,46486,,,
1/30/2020,12:54:52 PM,0.87803,244.263,0.026265,0.000251,0.894123,-5.115973,6.030005,241.1332,242.2707,242.4268,46492,,,
1/30/2020,12:54:58 PM,0.878031,244.2641,0.026243,0.000472,0.899007,-5.115669,6.030111,241.1431,242.2702,242.4274,46498,,,
1/30/2020,12:55:04 PM,0.878129,244.2687,0.026226,0.000692,0.914567,-5.115523,6.030058,241.1541,242.2716,242.4311,46504,,,
1/30/2020,12:55:11 PM,0.878513,244.2733,0.026195,0.000688,0.932995,-5.115735,5.885268,241.1648,242.2707,242.4332,46511,,,
1/30/2020,12:55:17 PM,0.878632,244.2723,0.026287,0.000687,0.950768,-5.11555,6.030005,241.1684,242.2688,242.4332,46517,,,
1/30/2020,12:55:23 PM,0.878908,244.2735,0.026205,0.000686,0.969303,-5.115589,6.030032,241.1784,242.2703,242.4356,46523,,,
1/30/2020,12:55:29 PM,0.879043,244.2802,0.026296,0.000682,0.987976,-5.115576,4.394596,241.1807,242.2708,242.438,46529,,,
1/30/2020,12:55:35 PM,0.879165,244.2789,0.026318,0.000681,1.004788,-5.115418,4.3266,241.1886,242.2741,242.4404,46535,,,
1/30/2020,12:55:41 PM,0.879167,244.2864,0.026297,0.000681,1.02359,-5.115338,6.030019,241.1923,242.2761,242.4469,46541,,,
1/30/2020,12:55:47 PM,0.879374,244.2855,0.02623,0.000679,1.044059,-5.115669,6.030072,241.1979,242.2792,242.4517,46547,,,
1/30/2020,12:55:53 PM,0.879642,244.2898,0.026268,0.000682,1.064647,-5.115444,6.030032,241.2048,242.2839,242.4565,46553,,,
1/30/2020,12:55:59 PM,0.880417,244.2902,0.026253,0.000685,1.08632,-5.115457,6.040551,241.2097,242.2882,242.4604,46559,,,
1/30/2020,12:56:05 PM,0.880251,244.2895,0.026725,0.000636,1.089019,-5.124468,6.036224,241.2177,242.2915,242.4632,46565,,,
1/30/2020,12:56:11 PM,0.88039,244.2928,0.026699,0.000627,1.089615,-5.12636,6.038606,241.2207,242.2987,242.4648,46571,,,
1/30/2020,12:56:17 PM,0.880341,244.2899,0.026728,0.000622,1.089469,-5.125063,6.037481,241.2267,242.2993,242.47,46577,,,
1/30/2020,12:56:23 PM,0.880363,244.2928,0.026611,0.000606,1.093425,-5.115894,6.048847,241.2313,242.3034,242.4701,46583,,,
1/30/2020,12:56:29 PM,0.880986,244.2939,0.026661,0.00057,1.11445,-5.133703,6.075177,241.2307,242.3057,242.4718,46589,,,
1/30/2020,12:56:35 PM,0.881032,244.288,0.026859,0.000572,1.116038,-5.157797,6.064804,241.2353,242.3049,242.474,46595,,,
1/30/2020,12:56:41 PM,0.88094,244.2909,0.026759,0.000572,1.116091,-5.147675,6.066471,241.2342,242.3068,242.4698,46601,,,
1/30/2020,12:56:47 PM,0.880349,244.284,0.027029,0.000571,1.114648,-5.142595,6.056495,241.2349,242.3049,242.4706,46607,,,
1/30/2020,12:56:53 PM,0.881017,244.2845,0.026942,0.000571,1.114992,-5.143865,6.06147,241.2392,242.3074,242.4691,46613,,,
1/30/2020,12:56:59 PM,0.880973,244.2873,0.026885,0.00057,1.115429,-5.146498,6.061734,241.2372,242.3057,242.4686,46619,,,
1/30/2020,12:57:05 PM,0.881026,244.287,0.026887,0.00057,1.115773,-5.146352,6.064036,241.2376,242.3045,242.4668,46625,,,
1/30/2020,12:57:11 PM,0.880943,244.2913,0.026719,0.00057,1.115773,-5.147966,6.064711,241.2389,242.3061,242.4676,46631,,,
1/30/2020,12:57:17 PM,0.881175,244.2924,0.026985,0.000569,1.115535,-5.148125,6.0584,241.2393,242.303,242.4669,46637,,,
1/30/2020,12:57:23 PM,0.880913,244.2991,0.027025,0.00057,1.115879,-5.148496,6.060795,241.2401,242.3027,242.4631,46643,,,
1/30/2020,12:57:29 PM,0.880997,244.3005,0.026867,0.000569,1.115561,-5.145982,6.066047,241.2379,242.301,242.4631,46649,,,
1/30/2020,12:57:35 PM,0.881034,244.3013,0.026755,0.00057,1.114886,-5.14397,6.06049,241.2422,242.3005,242.4637,46655,,,
1/30/2020,12:57:41 PM,0.880933,244.3058,0.02691,0.000569,1.116157,-5.146736,6.06094,241.2403,242.2997,242.4622,46661,,,
1/30/2020,12:57:47 PM,0.88097,244.3062,0.026724,0.000568,1.115945,-5.148681,6.065518,241.2414,242.2983,242.4626,46667,,,
1/30/2020,12:57:53 PM,0.880977,244.3105,0.026812,0.000568,1.117347,-5.149197,6.066352,241.2449,242.2972,242.4643,46673,,,
1/30/2020,12:57:59 PM,0.881066,244.313,0.026837,0.000569,1.116091,-5.146643,6.063176,241.2477,242.2975,242.4631,46679,,,
1/30/2020,12:58:05 PM,0.880931,244.3131,0.026769,0.000569,1.115945,-5.151684,6.06225,241.2499,242.2967,242.4652,46685,,,
1/30/2020,12:58:11 PM,0.880878,244.3167,0.026775,0.000568,1.116699,-5.151923,6.059009,241.2565,242.2958,242.4686,46691,,,
