12/7/2015,4:40:28 PM,PIL32,,,,,,,,,,
Date,Time,P,T,Int_load,Ext_load,Disp,Intensifier,6v,T_bath,pist_13_mm,pist_20_mm,time (s)
12/7/2015,4:40:48 PM,0.583726,265.9614,0.015314,0.000281,0.68335,-3.946006,6.028905,265.2313,264.1601,264.2462,60048
12/7/2015,4:41:02 PM,0.583698,265.96,0.015316,0.000294,0.757145,-3.946639,6.029006,265.2518,264.1621,264.2461,60062
12/7/2015,4:41:16 PM,0.583995,265.9588,0.015099,0.000295,0.834992,-3.94669,6.028854,265.2678,264.1647,264.2498,60076
12/7/2015,4:41:30 PM,0.584116,265.9569,0.015196,0.000296,0.909915,-3.946766,6.028918,265.2725,264.1656,264.2565,60090
12/7/2015,4:41:44 PM,0.584452,265.9522,0.01516,0.000297,0.984216,-3.946639,6.028918,265.2852,264.1706,264.2585,60104
12/7/2015,4:41:58 PM,0.58413,265.9513,0.015172,0.000301,1.058114,-3.946652,6.028943,265.3035,264.1713,264.2624,60118
12/7/2015,4:42:12 PM,0.584476,265.9471,0.015129,0.0003,1.132799,-3.946728,6.028918,265.2972,264.1767,264.2686,60132
12/7/2015,4:42:26 PM,0.585163,265.9421,0.015129,0.000301,1.202849,-3.946753,6.029082,265.2288,264.1788,264.2721,60146
12/7/2015,4:42:40 PM,0.585286,265.9391,0.015138,0.000302,1.274229,-3.946652,6.029044,265.2355,264.1817,264.2777,60160
12/7/2015,4:42:54 PM,0.585277,265.9368,0.01513,0.000302,1.350711,-3.946728,6.02912,265.1542,264.186,264.2865,60174
12/7/2015,4:43:08 PM,0.585715,265.9318,0.015109,0.000302,1.421015,-3.946728,6.02912,265.0761,264.1904,264.2916,60188
12/7/2015,4:43:22 PM,0.586118,265.9266,0.015129,0.0003,1.494801,-3.946804,6.029209,265.0051,264.1945,264.295,60202
12/7/2015,4:43:36 PM,0.586227,265.922,0.015076,0.0003,1.566206,-3.946741,6.029196,264.9399,264.1974,264.296,60216
12/7/2015,4:43:50 PM,0.587926,265.9136,0.015049,0.000299,1.63489,-3.946829,6.030386,264.8665,264.198,264.2988,60230
12/7/2015,4:44:04 PM,0.587257,265.9065,0.015734,0.000223,1.630826,-3.946893,6.028918,264.8038,264.2028,264.3001,60244
12/7/2015,4:44:18 PM,0.587262,265.901,0.01497,0.000157,1.630484,-3.94888,6.028943,264.7384,264.2024,264.3004,60258
12/7/2015,4:44:32 PM,0.587213,265.8937,0.014947,0.000157,1.630344,-3.948944,6.028968,264.6793,264.2078,264.3041,60272
12/7/2015,4:44:46 PM,0.587137,265.8868,0.014945,0.000157,1.630332,-3.948855,6.028918,264.6432,264.2081,264.3061,60286
12/7/2015,4:45:00 PM,0.587247,265.8825,0.014938,0.000157,1.630357,-3.94888,6.028905,264.7058,264.2108,264.3084,60300
12/7/2015,4:45:15 PM,0.58717,265.8727,0.014937,0.000158,1.63037,-3.948893,6.028854,264.7225,264.2111,264.3086,60315
12/7/2015,4:45:29 PM,0.587211,265.8659,0.014912,0.000157,1.630357,-3.948817,6.028867,264.6704,264.2123,264.312,60329
12/7/2015,4:45:43 PM,0.5873,265.8609,0.014923,0.000158,1.630408,-3.948817,6.028804,264.6995,264.2136,264.3134,60343
12/7/2015,4:45:57 PM,0.587192,265.8528,0.014884,0.000157,1.630408,-3.948741,6.028766,264.6233,264.2136,264.3157,60357
12/7/2015,4:46:11 PM,0.587236,265.8519,0.014883,0.000157,1.630433,-3.948766,6.028702,264.5497,264.2144,264.3203,60371
12/7/2015,4:46:25 PM,0.587176,265.8447,0.014887,0.000157,1.630357,-3.948728,6.02869,264.4894,264.217,264.3229,60385
12/7/2015,4:46:39 PM,0.587299,265.841,0.014853,0.000158,1.63037,-3.948754,6.028677,264.4297,264.2171,264.3242,60399
12/7/2015,4:46:53 PM,0.587366,265.8328,0.01485,0.000158,1.630357,-3.948741,6.028614,264.3754,264.2199,264.3271,60413
12/7/2015,4:47:07 PM,0.587269,265.8239,0.014829,0.000157,1.630382,-3.948652,6.028652,264.3184,264.2207,264.3298,60427
12/7/2015,4:47:21 PM,0.587201,265.8169,0.014808,0.000157,1.63037,-3.948678,6.028563,264.2733,264.2252,264.3302,60441
12/7/2015,4:47:35 PM,0.58731,265.8104,0.014787,0.000157,1.630408,-3.94864,6.028525,264.2208,264.2289,264.3328,60455
12/7/2015,4:47:49 PM,0.587247,265.7986,0.014768,0.000157,1.63037,-3.948652,6.028512,264.2097,264.233,264.3331,60469
12/7/2015,4:48:03 PM,0.58723,265.7933,0.014762,0.000157,1.630382,-3.948602,6.028525,264.3046,264.239,264.3382,60483
12/7/2015,4:48:17 PM,0.587173,265.7803,0.01474,0.000157,1.630382,-3.94864,6.028449,264.3815,264.2426,264.3393,60497
12/7/2015,4:48:31 PM,0.587162,265.7743,0.014723,0.000157,1.630395,-3.948602,6.028424,264.454,264.2459,264.3416,60511
12/7/2015,4:48:45 PM,0.587821,265.7682,0.01473,0.000157,1.630775,-3.947133,6.029108,264.5172,264.2496,264.343,60525
12/7/2015,4:48:59 PM,0.587854,265.76,0.014747,0.000157,1.630724,-3.947057,6.028804,264.5757,264.2563,264.3486,60539
12/7/2015,4:49:13 PM,0.587358,265.7506,0.014783,0.000157,1.63056,-3.947222,6.028715,264.6302,264.257,264.3493,60553
12/7/2015,4:49:27 PM,0.587851,265.7441,0.014739,0.000157,1.630598,-3.946804,6.030348,264.6813,264.263,264.3551,60567
12/7/2015,4:49:41 PM,0.587954,265.739,0.014731,0.000157,1.630598,-3.947374,6.028892,264.7333,264.2646,264.3582,60581
12/7/2015,4:49:55 PM,0.587626,265.7334,0.014675,0.000157,1.631003,-3.946171,6.028702,264.7795,264.2691,264.3616,60595
