Date,Time,P,T,Int_load,Ext_load,Disp,Intensifier,6v,T_bath,pist_13_mm,pist_20_mm,time(s)
12/11/2015,11:38:57 AM,0.573492,264.0355,0.017772,0.000411,1.484369,-3.948804,6.029335,262.9574,263.4565,263.5756,41937.00
12/11/2015,11:39:11 AM,0.575178,264.0384,0.017827,0.00041,1.557128,-3.948779,6.033323,263.0309,263.4569,263.5768,41951.00
12/11/2015,11:39:25 AM,0.575038,264.0331,0.018564,0.000382,1.566434,-3.949045,6.029791,263.109,263.4585,263.5777,41965.00
12/11/2015,11:39:39 AM,0.574389,264.0352,0.017724,0.000214,1.55038,-3.950906,6.029006,263.1909,263.4584,263.5793,41979.00
12/11/2015,11:39:53 AM,0.574417,264.0371,0.01772,0.000215,1.550127,-3.950906,6.028968,263.2752,263.4589,263.5822,41993.00
12/11/2015,11:40:07 AM,0.574317,264.0377,0.017707,0.000215,1.550279,-3.950957,6.029032,263.3668,263.4615,263.5839,42007.00
12/11/2015,11:40:22 AM,0.574458,264.0416,0.017682,0.000216,1.550317,-3.950906,6.028981,263.458,263.4598,263.5878,42022.00
12/11/2015,11:40:37 AM,0.574662,264.0418,0.01768,0.000215,1.550469,-3.950931,6.033805,263.5497,263.4619,263.5901,42037.00
12/11/2015,11:40:51 AM,0.574351,264.0431,0.017816,0.000257,1.553052,-3.950893,6.028829,263.6429,263.4618,263.5904,42051.00
12/11/2015,11:41:05 AM,0.574456,264.0454,0.017642,0.000256,1.553064,-3.950868,6.028829,263.7395,263.4624,263.5921,42065.00
12/11/2015,11:41:19 AM,0.57425,264.0434,0.017644,0.000255,1.553064,-3.950792,6.028816,263.7769,263.4613,263.5911,42079.00
12/11/2015,11:41:33 AM,0.574335,264.0468,0.017631,0.000255,1.553064,-3.950767,6.028778,263.1998,263.4614,263.5899,42093.00
12/11/2015,11:41:47 AM,0.574306,264.043,0.01764,0.000255,1.552938,-3.950805,6.028753,262.7126,263.4579,263.5904,42107.00
12/11/2015,11:42:01 AM,0.574264,264.0435,0.017645,0.000255,1.552912,-3.950767,6.028702,261.9565,263.4576,263.5875,42121.00
12/11/2015,11:42:15 AM,0.574309,264.0423,0.017634,0.000255,1.552925,-3.950792,6.028791,260.7951,263.4569,263.5882,42135.00
12/11/2015,11:42:29 AM,0.574245,264.0387,0.017649,0.000255,1.552963,-3.950754,6.02869,259.5739,263.4559,263.5864,42149.00
12/11/2015,11:42:43 AM,0.574211,264.0352,0.017643,0.000254,1.552938,-3.950716,6.028626,258.3698,263.4538,263.5847,42163.00
12/11/2015,11:42:57 AM,0.574202,264.0322,0.01763,0.000254,1.55295,-3.950691,6.028601,257.2529,263.4535,263.586,42177.00
12/11/2015,11:43:11 AM,0.574304,264.0303,0.017622,0.000254,1.552912,-3.950615,6.028563,256.1842,263.4525,263.5855,42191.00
12/11/2015,11:43:25 AM,0.574179,264.0227,0.017614,0.000255,1.552925,-3.950678,6.028512,255.2311,263.4517,263.5861,42205.00
