8/18/2015,10:36:08 AM,PIL20,,,,,,,,,,
Date,Time,P,T,Int_load,Ext_load,Disp,Intensifier,6v,T_bath,pist_13_mm,pist_20_mm,time (s)
8/18/2015,10:36:33 AM,0.566622,263.9688,0.009197,0.000376,0.442609,-3.877855,6.028361,263.5768,263.8374,263.9432,38193
8/18/2015,10:36:47 AM,0.566757,263.9672,0.009191,0.000376,0.44263,-3.87807,6.028411,263.5754,263.8384,263.9442,38207
8/18/2015,10:37:02 AM,0.566659,263.9671,0.009181,0.000375,0.442625,-3.87783,6.028361,263.58,263.8405,263.9465,38222
8/18/2015,10:37:16 AM,0.566725,263.9648,0.009178,0.000375,0.442562,-3.878032,6.028335,263.5808,263.8402,263.9487,38236
8/18/2015,10:37:30 AM,0.566698,263.9658,0.009187,0.000374,0.442512,-3.87802,6.028348,263.5841,263.8416,263.9518,38250
8/18/2015,10:37:44 AM,0.566676,263.9628,0.00919,0.000374,0.442514,-3.878058,6.028348,263.5872,263.8438,263.9534,38264
8/18/2015,10:37:58 AM,0.566778,263.9651,0.009182,0.000374,0.442526,-3.878007,6.028424,263.5923,263.8462,263.9544,38278
8/18/2015,10:38:13 AM,0.566745,263.9612,0.009179,0.000373,0.442523,-3.878032,6.028323,263.5952,263.8446,263.9567,38293
8/18/2015,10:38:27 AM,0.566723,263.9612,0.009166,0.000374,0.442519,-3.878032,6.028323,263.6001,263.8494,263.9598,38307
8/18/2015,10:38:41 AM,0.566774,263.9585,0.009168,0.000374,0.442521,-3.87802,6.02831,263.605,263.8463,263.9609,38321
8/18/2015,10:38:55 AM,0.566778,263.9594,0.009181,0.000373,0.442523,-3.87788,6.028348,263.6074,263.848,263.9609,38335
8/18/2015,10:39:09 AM,0.566716,263.9568,0.009167,0.000373,0.442523,-3.877994,6.02831,263.6103,263.8493,263.9618,38349
8/18/2015,10:39:23 AM,0.566783,263.9569,0.009177,0.000372,0.442527,-3.877855,6.028348,263.6174,263.8481,263.9631,38363
8/18/2015,10:39:38 AM,0.566783,263.9543,0.009172,0.000373,0.442533,-3.877982,6.028348,263.6221,263.8495,263.9632,38378
8/18/2015,10:39:52 AM,0.566732,263.9562,0.009177,0.000373,0.442549,-3.878032,6.028335,263.6267,263.8501,263.9661,38392
8/18/2015,10:40:06 AM,0.566681,263.953,0.009192,0.000373,0.442546,-3.878007,6.028348,263.6344,263.8541,263.967,38406
8/18/2015,10:40:20 AM,0.56669,263.9559,0.009205,0.000372,0.442552,-3.877817,6.028348,263.6401,263.8544,263.9681,38420
8/18/2015,10:40:34 AM,0.566731,263.9553,0.009209,0.000373,0.44256,-3.878045,6.028348,263.6464,263.8558,263.9706,38434
8/18/2015,10:40:49 AM,0.566769,263.9552,0.009211,0.000372,0.442573,-3.877754,6.028348,263.6518,263.8576,263.9719,38449
8/18/2015,10:41:03 AM,0.566783,263.9556,0.00922,0.000372,0.442581,-3.877956,6.028361,263.662,263.8597,263.9768,38463
8/18/2015,10:41:17 AM,0.566713,263.9551,0.009216,0.000372,0.442587,-3.877982,6.028373,263.6645,263.8582,263.9774,38477
8/18/2015,10:41:31 AM,0.566774,263.9575,0.009228,0.000371,0.44259,-3.878007,6.02831,263.6752,263.8634,263.9796,38491
8/18/2015,10:41:45 AM,0.566765,263.9586,0.009233,0.000372,0.442587,-3.878007,6.028373,263.6839,263.8616,263.9807,38505
8/18/2015,10:42:00 AM,0.566756,263.9593,0.009243,0.000372,0.44259,-3.878007,6.028297,263.6888,263.8607,263.9802,38520
8/18/2015,10:42:14 AM,0.566763,263.9628,0.009234,0.000372,0.4426,-3.877982,6.028335,263.699,263.8613,263.9819,38534
8/18/2015,10:42:28 AM,0.566835,263.9668,0.00923,0.000372,0.442611,-3.877906,6.028323,263.7078,263.8608,263.9804,38548
8/18/2015,10:42:42 AM,0.56683,263.9685,0.009229,0.000371,0.442616,-3.877982,6.028335,263.7173,263.8596,263.981,38562
8/18/2015,10:42:56 AM,0.566755,263.9719,0.009244,0.000371,0.442619,-3.877918,6.028335,263.7249,263.8593,263.98,38576
8/18/2015,10:43:11 AM,0.566708,263.9741,0.009241,0.000372,0.442628,-3.87783,6.028348,263.7347,263.8587,263.9814,38591
8/18/2015,10:43:25 AM,0.566759,263.9799,0.009264,0.000371,0.442625,-3.877982,6.028361,263.7421,263.8608,263.9794,38605
8/18/2015,10:43:39 AM,0.566825,263.981,0.009261,0.000371,0.442612,-3.877969,6.028348,263.7526,263.8585,263.9799,38619
8/18/2015,10:43:53 AM,0.566721,263.9857,0.009266,0.000372,0.442612,-3.877893,6.028335,263.7546,263.8615,263.9769,38633
8/18/2015,10:44:07 AM,0.566823,263.9853,0.009275,0.000371,0.442613,-3.877893,6.028361,263.7674,263.8583,263.9759,38647
8/18/2015,10:44:22 AM,0.566687,263.985,0.009275,0.00037,0.442618,-3.877994,6.028323,263.7691,263.859,263.9756,38662
8/18/2015,10:44:36 AM,0.566744,263.9841,0.009292,0.00037,0.442627,-3.878032,6.028348,263.7695,263.8568,263.9738,38676
8/18/2015,10:44:50 AM,0.566706,263.9853,0.009262,0.000371,0.442623,-3.877918,6.028335,263.771,263.8584,263.9754,38690
8/18/2015,10:45:04 AM,0.566689,263.9844,0.009277,0.00037,0.442625,-3.878007,6.028424,263.7672,263.8596,263.9732,38704
8/18/2015,10:45:18 AM,0.566841,263.9825,0.009249,0.00037,0.442618,-3.87788,6.028348,263.7609,263.8596,263.9745,38718
8/18/2015,10:45:33 AM,0.566742,263.9836,0.009245,0.00037,0.442618,-3.878007,6.028335,263.7513,263.8587,263.9779,38733
8/18/2015,10:45:47 AM,0.566646,263.9861,0.009243,0.00037,0.442625,-3.87802,6.028411,263.7412,263.8608,263.9755,38747
8/18/2015,10:46:01 AM,0.566763,263.9836,0.009261,0.000369,0.442619,-3.877931,6.028361,263.728,263.8581,263.9789,38761
8/18/2015,10:46:15 AM,0.566703,263.987,0.009234,0.000369,0.442623,-3.878007,6.028335,263.7128,263.8605,263.978,38775
8/18/2015,10:46:29 AM,0.566709,263.983,0.009225,0.00037,0.442614,-3.878058,6.028424,263.6999,263.8594,263.9819,38789
8/18/2015,10:46:44 AM,0.566699,263.9829,0.009244,0.000369,0.442606,-3.877956,6.028323,263.678,263.8604,263.9824,38804
8/18/2015,10:46:58 AM,0.566759,263.9815,0.00924,0.00037,0.442602,-3.87783,6.02831,263.668,263.858,263.983,38818
8/18/2015,10:47:12 AM,0.566683,263.9775,0.009226,0.00037,0.442598,-3.87802,6.028361,263.6451,263.8598,263.9828,38832
8/18/2015,10:47:26 AM,0.565698,263.9743,0.009235,0.000369,0.442599,-3.877969,6.028702,263.6262,263.8584,263.9806,38846
8/18/2015,10:47:40 AM,0.565825,263.9675,0.009053,0.000529,0.431556,-3.87769,6.028664,263.6114,263.8567,263.9816,38860
8/18/2015,10:47:55 AM,0.567149,263.9629,0.009077,0.000497,0.454903,-3.876361,6.028626,263.585,263.8564,263.9793,38875
8/18/2015,10:48:09 AM,0.567203,263.9524,-0.000005,-0.000018,0.000014,-0.000204,0.000325,263.5665,263.8551,263.9767,38889
8/18/2015,10:48:24 AM,0.567187,263.9449,-0.000003,-0.000017,0.000017,-0.000178,0.000183,263.5394,263.8554,263.9772,38904
8/18/2015,10:48:38 AM,0.567141,263.9354,-0.000001,-0.000018,0.000011,-0.000167,0.000119,263.5115,263.8538,263.9757,38918
8/18/2015,10:48:53 AM,0.567098,263.9259,-0.000003,-0.000018,0.000007,-0.00017,0.000084,263.4833,263.8518,263.9755,38933
8/18/2015,10:49:08 AM,0.567151,263.9184,-0.000002,-0.000017,0.000004,-0.000168,0.000096,263.4495,263.8549,263.9734,38948
8/18/2015,10:49:22 AM,0.567126,263.9106,-0.000002,-0.000018,0.000005,-0.000168,0.000061,263.4254,263.8465,263.9714,38962
8/18/2015,10:49:37 AM,0.567081,263.9046,-0.000003,-0.000018,0.000003,-0.000162,0.000046,263.3982,263.8488,263.9693,38977
8/18/2015,10:49:51 AM,0.567088,263.8968,-0.000002,-0.000018,0.000002,-0.000161,0.000035,263.3683,263.8478,263.9675,38991
8/18/2015,10:50:06 AM,0.567221,263.8925,-0.000002,-0.000018,0.000001,-0.00016,0.000029,263.3485,263.8447,263.967,39006
8/18/2015,10:50:21 AM,0.567162,263.8922,-0.000006,-0.000018,0.000001,-0.000159,0.000026,263.3314,263.8416,263.9624,39021
8/18/2015,10:50:35 AM,0.567188,263.8867,-0.000002,-0.000017,0,-0.000157,0.000021,263.318,263.8375,263.958,39035
8/18/2015,10:50:50 AM,0.567116,263.8844,-0.000002,-0.000016,0,-0.000151,0.000018,263.3083,263.8345,263.9562,39050
8/18/2015,10:51:04 AM,0.567158,263.884,-0.000003,-0.000016,-0.000001,-0.000165,0.000015,263.2991,263.8304,263.953,39064
8/18/2015,10:51:19 AM,0.567088,263.8788,-0.000002,-0.000018,0.000001,-0.000154,0.000014,263.295,263.8307,263.9502,39079
8/18/2015,10:51:34 AM,0.567017,263.8768,-0.000003,-0.000016,0,-0.000156,0.000011,263.2907,263.8278,263.9471,39094
8/18/2015,10:51:48 AM,0.567117,263.8757,-0.000002,-0.000016,0,-0.000161,0.000011,263.2912,263.8214,263.946,39108
8/18/2015,10:52:03 AM,0.567059,263.8735,-0.000002,-0.000015,,-0.000163,0.00001,263.2955,263.8192,263.9469,39123
8/18/2015,10:52:17 AM,0.567126,263.8682,-0.000002,-0.000016,,-0.000163,0.000008,263.2932,263.8169,263.9421,39137
